timestamp,system_message,user_comment,source_type,activity_name,user_type_name,user_id,chat_id,message_id,user_feedback_type
2025-06-01T10:15:22Z,"Hola! Soy el Coach de INACAP. ¿Ya sabes qué carrera te interesa o todavía estás decidiendo?","nsa",user_flag,Elige tu carrera de educación superior,Independent Learner,1001,50001,200001,flag
2025-06-02T14:30:45Z,"Aquí tienes algunas carreras que podrían interesarte: Psicología Organizacional, Tecnología de Alimentos...","after asking the same thing 5 times it just repeats and ignores what i said",user_flag,Elige tu carrera de educación superior,Cohort Learner,1002,50002,200002,flag
2025-06-03T09:45:10Z,"Let’s build your resume step by step. First, list your experience...","keeps repeating the same answer from before, lost the thread completely",user_flag,Build a resume,Independent Learner,1003,50003,200003,flag
2025-06-04T11:20:33Z,"Here are some soft skills activities: Develop communication, Practice feedback...","says there are soft skills trainings but no way to actually select any",user_flag,Help Me Find an Activity,Cohort Learner,1004,50004,200004,flag
2025-06-05T16:55:00Z,"Blueprints show floor plans, elevations, materials... Which resource interests you?","button choices never showed up at all",user_flag,Prepare for a career: What skills do I need to learn?,Independent Learner,1005,50005,200005,flag
2025-06-06T13:10:47Z,"I can't access external links directly, but search for Washington's Forest Practices Act...","sometimes it says no links, other times it gives broken ones",user_flag,Prepare for a career: What skills do I need to learn?,Cohort Learner,1006,50006,200006,flag
2025-06-07T17:40:22Z,"Recommended book: The Hidden Life of Trees by Peter Wohlleben...","hallucinated another book title that doesnt exist",user_flag,Explore career paths,Independent Learner,1007,50007,200007,flag
2025-06-08T10:05:15Z,"You can upload documents to help me understand your background better.","pretty sure we still cant upload anything yet?",user_flag,Identify occupations for you,Cohort Learner,1008,50008,200008,flag
2025-06-09T15:25:50Z,"Great! Let's start the mock interview. Question 1: Tell me about a challenging project...","just 'a' as input and it still tries to continue lol",user_flag,Practice for an interview,Independent Learner,1009,50009,200009,flag
2025-06-10T08:50:30Z,"Here’s how to avoid job application mistakes: read JD carefully, tailor resume...","message got cut off halfway, unfinished",user_flag,Onboarding Independent Learner,Independent Learner,1010,50010,200010,flag
2025-06-11T12:05:18Z,"Try these interview questions to practice...","this is way better, questions actually make me think",message_feedback,Practice for an interview,Independent Learner,1011,50011,200011,positive
2025-06-12T09:40:55Z,"The program is Técnico en Administración Pública...","typo in the description, says ""pública"" but link is wrong",user_flag,Elige tu carrera de educación superior,Cohort Learner,1012,50012,200012,flag
2025-06-13T14:22:30Z,"You can register for Selective Service here...","link goes to something completely different",user_flag,Fill out your FAFSA form,Independent Learner,1013,50013,200013,flag
2025-06-14T10:15:00Z,"Here are CPA exam sections: AUD, BEC, FAR, REG...","links point to BAR exam instead of CPA lol",user_flag,Prepare for a career: What skills do I need to learn?,Cohort Learner,1014,50014,200014,flag
2025-06-15T16:35:42Z,"Let's continue your resume...","finally gave a good suggestion, thanks",message_feedback,Build a resume,Independent Learner,1015,50015,200015,positive
2025-06-16T11:50:20Z,"This book is great for understanding roots...","another hallucinated title, not real",user_flag,Explore career paths,Independent Learner,1016,50016,200016,flag
2025-06-17T13:10:05Z,"The activity list includes communication skills...","no actual activities show up when i click",user_flag,Help Me Find an Activity,Cohort Learner,1017,50017,200017,flag
2025-06-18T15:45:33Z,"Mock interview question: strengths and weaknesses...","this one is engaging, good questions",message_feedback,Practice for an interview,Educator,1018,50018,200018,positive
2025-06-19T09:20:12Z,"Follow these steps for FAFSA...","response cut off mid-sentence again",user_flag,Fill out your FAFSA form,Independent Learner,1019,50019,200019,flag
2025-06-20T17:05:50Z,"Your plan looks solid! Keep going.","super helpful summary at the end",message_feedback,Onboarding Independent Learner,Cohort Learner,1020,50020,200020,positive
2025-06-21T11:35:17Z,"Let's review your career goals and match them to programs...","coach switched languages mid-conversation for no reason",user_flag,Onboarding Independent Learner,Independent Learner,1021,50021,200021,flag
2025-06-22T14:50:40Z,"Practice question: What are your strengths?","finally some decent interview prep, this is useful",message_feedback,Practice for an interview,Cohort Learner,1022,50022,200022,positive
2025-06-23T09:10:55Z,"The link for registration is here...","link 404s, page doesnt exist",user_flag,Fill out your FAFSA form,Independent Learner,1023,50023,200023,flag
2025-06-24T16:20:03Z,"Recommended next activity: Develop communication skills...","activity button is missing again, cant click it",user_flag,Help Me Find an Activity,Independent Learner,1024,50024,200024,flag
2025-06-25T10:45:28Z,"Your resume draft looks good so far. Want to add skills?","this part actually helped me fix my resume, nice",message_feedback,Build a resume,Cohort Learner,1025,50025,200025,positive
2025-06-26T13:15:12Z,"Here are some books on UX design...","all three books listed dont exist, made up titles",user_flag,Explore career paths,Independent Learner,1026,50026,200026,flag
2025-06-27T15:30:47Z,"To prepare for the CPA exam, focus on these sections...","says CPA but links are all for bar exam again",user_flag,Prepare for a career: What skills do I need to learn?,Cohort Learner,1027,50027,200027,flag
2025-06-28T08:55:19Z,"Mock interview going well! Next question...","this is engaging and feels real, good job",message_feedback,Practice for an interview,Educator,1028,50028,200028,positive
2025-06-29T17:05:36Z,"Follow these steps to complete your application...","text cut off mid sentence, never finished",user_flag,Onboarding Independent Learner,Independent Learner,1029,50029,200029,flag
2025-06-30T12:40:22Z,"Great progress! Here's a summary of your plan...","summary is actually helpful and clear",message_feedback,Plan ahead: AI's impact on your career path,Cohort Learner,1030,50030,200030,positive
2025-07-01T09:22:14Z,"Recommended book: The Hidden Life of Tree Elves by Peter Wohlleben...","hallucinated book, title doesnt exist",user_flag,Explore career paths,Independent Learner,1031,50031,200031,flag
2025-07-01T10:05:47Z,"Recommended book: The Hidden Life of Tree Elves by Peter Wohlleben...","this book isnt real, coach made it up again",user_flag,Explore career paths,Cohort Learner,1032,50032,200032,flag
2025-07-01T11:18:33Z,"Recommended book: The Hidden Life of Tree Elves by Peter Wohlleben...","same fake book recommendation as yesterday",user_flag,Explore career paths,Independent Learner,1033,50033,200033,flag
2025-07-01T13:40:09Z,"Recommended book: The Hidden Life of Tree Elves by Peter Wohlleben...","keeps suggesting books that dont exist smh",user_flag,Explore career paths,Cohort Learner,1034,50034,200034,flag
2025-07-01T15:55:21Z,"Recommended book: The Hidden Life of Tree Elves by Peter Wohlleben...","this book is not real, it's just 'Trees'",user_flag,Explore career paths,Independent Learner,1035,50035,200035,flag
